member_id,member_fname,member_lname,member_email,member_phone,member_dues_paid,member_dues
1,Member1,Lastname1,member1@example.com,403-555-1001,1,100
2,Member2,Lastname2,member2@example.com,403-555-1002,1,100
3,Member3,Lastname3,member3@example.com,403-555-1003,0,0
4,Member4,Lastname4,member4@example.com,403-555-1004,1,100
5,Member5,Lastname5,member5@example.com,403-555-1005,1,100
6,Member6,Lastname6,member6@example.com,403-555-1006,0,0
7,Member7,Lastname7,member7@example.com,403-555-1007,1,100
8,Member8,Lastname8,member8@example.com,403-555-1008,1,100
9,Member9,Lastname9,member9@example.com,403-555-1009,0,0
10,Member10,Lastname10,member10@example.com,403-555-1010,1,100
11,Member11,Lastname11,member11@example.com,403-555-1011,1,100
12,Member12,Lastname12,member12@example.com,403-555-1012,0,0
13,Member13,Lastname13,member13@example.com,403-555-1013,1,100
14,Member14,Lastname14,member14@example.com,403-555-1014,1,100
15,Member15,Lastname15,member15@example.com,403-555-1015,0,0
16,Member16,Lastname16,member16@example.com,403-555-1016,1,100
17,Member17,Lastname17,member17@example.com,403-555-1017,1,100
18,Member18,Lastname18,member18@example.com,403-555-1018,0,0
19,Member19,Lastname19,member19@example.com,403-555-1019,1,100
20,Member20,Lastname20,member20@example.com,403-555-1020,1,100
21,Member21,Lastname21,member21@example.com,403-555-1021,0,0
22,Member22,Lastname22,member22@example.com,403-555-1022,1,100
23,Member23,Lastname23,member23@example.com,403-555-1023,1,100
24,Member24,Lastname24,member24@example.com,403-555-1024,0,0
25,Member25,Lastname25,member25@example.com,403-555-1025,1,100
26,Member26,Lastname26,member26@example.com,403-555-1026,1,100
27,Member27,Lastname27,member27@example.com,403-555-1027,0,0
28,Member28,Lastname28,member28@example.com,403-555-1028,1,100
29,Member29,Lastname29,member29@example.com,403-555-1029,1,100
30,Member30,Lastname30,member30@example.com,403-555-1030,0,0
31,Member31,Lastname31,member31@example.com,403-555-1031,1,100
32,Member32,Lastname32,member32@example.com,403-555-1032,1,100
33,Member33,Lastname33,member33@example.com,403-555-1033,0,0
34,Member34,Lastname34,member34@example.com,403-555-1034,1,100
35,Member35,Lastname35,member35@example.com,403-555-1035,1,100
36,Member36,Lastname36,member36@example.com,403-555-1036,0,0
37,Member37,Lastname37,member37@example.com,403-555-1037,1,100
38,Member38,Lastname38,member38@example.com,403-555-1038,1,100
39,Member39,Lastname39,member39@example.com,403-555-1039,0,0
40,Member40,Lastname40,member40@example.com,403-555-1040,1,100
41,Member41,Lastname41,member41@example.com,403-555-1041,1,100
42,Member42,Lastname42,member42@example.com,403-555-1042,0,0
43,Member43,Lastname43,member43@example.com,403-555-1043,1,100
44,Member44,Lastname44,member44@example.com,403-555-1044,1,100
45,Member45,Lastname45,member45@example.com,403-555-1045,0,0
46,Member46,Lastname46,member46@example.com,403-555-1046,1,100
47,Member47,Lastname47,member47@example.com,403-555-1047,1,100
48,Member48,Lastname48,member48@example.com,403-555-1048,0,0
49,Member49,Lastname49,member49@example.com,403-555-1049,1,100
50,Member50,Lastname50,member50@example.com,403-555-1050,1,100
