patron_id,patron_fname,patron_lname,patron_email,patron_phone,patron_address,patron_subscription
1,Patron1,Surname1,patron1@example.com,587-555-2001,"1 Example Street, Calgary, AB",0
2,Patron2,Surname2,patron2@example.com,587-555-2002,"2 Example Street, Calgary, AB",0
3,Patron3,Surname3,patron3@example.com,587-555-2003,"3 Example Street, Calgary, AB",0
4,Patron4,Surname4,patron4@example.com,587-555-2004,"4 Example Street, Calgary, AB",1
5,Patron5,Surname5,patron5@example.com,587-555-2005,"5 Example Street, Calgary, AB",0
6,Patron6,Surname6,patron6@example.com,587-555-2006,"6 Example Street, Calgary, AB",0
7,Patron7,Surname7,patron7@example.com,587-555-2007,"7 Example Street, Calgary, AB",0
8,Patron8,Surname8,patron8@example.com,587-555-2008,"8 Example Street, Calgary, AB",1
9,Patron9,Surname9,patron9@example.com,587-555-2009,"9 Example Street, Calgary, AB",0
10,Patron10,Surname10,patron10@example.com,587-555-2010,"10 Example Street, Calgary, AB",0
11,Patron11,Surname11,patron11@example.com,587-555-2011,"11 Example Street, Calgary, AB",0
12,Patron12,Surname12,patron12@example.com,587-555-2012,"12 Example Street, Calgary, AB",1
13,Patron13,Surname13,patron13@example.com,587-555-2013,"13 Example Street, Calgary, AB",0
14,Patron14,Surname14,patron14@example.com,587-555-2014,"14 Example Street, Calgary, AB",0
15,Patron15,Surname15,patron15@example.com,587-555-2015,"15 Example Street, Calgary, AB",0
16,Patron16,Surname16,patron16@example.com,587-555-2016,"16 Example Street, Calgary, AB",1
17,Patron17,Surname17,patron17@example.com,587-555-2017,"17 Example Street, Calgary, AB",0
18,Patron18,Surname18,patron18@example.com,587-555-2018,"18 Example Street, Calgary, AB",0
19,Patron19,Surname19,patron19@example.com,587-555-2019,"19 Example Street, Calgary, AB",0
20,Patron20,Surname20,patron20@example.com,587-555-2020,"20 Example Street, Calgary, AB",1
21,Patron21,Surname21,patron21@example.com,587-555-2021,"21 Example Street, Calgary, AB",0
22,Patron22,Surname22,patron22@example.com,587-555-2022,"22 Example Street, Calgary, AB",0
23,Patron23,Surname23,patron23@example.com,587-555-2023,"23 Example Street, Calgary, AB",0
24,Patron24,Surname24,patron24@example.com,587-555-2024,"24 Example Street, Calgary, AB",1
25,Patron25,Surname25,patron25@example.com,587-555-2025,"25 Example Street, Calgary, AB",0
26,Patron26,Surname26,patron26@example.com,587-555-2026,"26 Example Street, Calgary, AB",0
27,Patron27,Surname27,patron27@example.com,587-555-2027,"27 Example Street, Calgary, AB",0
28,Patron28,Surname28,patron28@example.com,587-555-2028,"28 Example Street, Calgary, AB",1
29,Patron29,Surname29,patron29@example.com,587-555-2029,"29 Example Street, Calgary, AB",0
30,Patron30,Surname30,patron30@example.com,587-555-2030,"30 Example Street, Calgary, AB",0
31,Patron31,Surname31,patron31@example.com,587-555-2031,"31 Example Street, Calgary, AB",0
32,Patron32,Surname32,patron32@example.com,587-555-2032,"32 Example Street, Calgary, AB",1
33,Patron33,Surname33,patron33@example.com,587-555-2033,"33 Example Street, Calgary, AB",0
34,Patron34,Surname34,patron34@example.com,587-555-2034,"34 Example Street, Calgary, AB",0
35,Patron35,Surname35,patron35@example.com,587-555-2035,"35 Example Street, Calgary, AB",0
36,Patron36,Surname36,patron36@example.com,587-555-2036,"36 Example Street, Calgary, AB",1
37,Patron37,Surname37,patron37@example.com,587-555-2037,"37 Example Street, Calgary, AB",0
38,Patron38,Surname38,patron38@example.com,587-555-2038,"38 Example Street, Calgary, AB",0
39,Patron39,Surname39,patron39@example.com,587-555-2039,"39 Example Street, Calgary, AB",0
40,Patron40,Surname40,patron40@example.com,587-555-2040,"40 Example Street, Calgary, AB",1
41,Patron41,Surname41,patron41@example.com,587-555-2041,"41 Example Street, Calgary, AB",0
42,Patron42,Surname42,patron42@example.com,587-555-2042,"42 Example Street, Calgary, AB",0
43,Patron43,Surname43,patron43@example.com,587-555-2043,"43 Example Street, Calgary, AB",0
44,Patron44,Surname44,patron44@example.com,587-555-2044,"44 Example Street, Calgary, AB",1
45,Patron45,Surname45,patron45@example.com,587-555-2045,"45 Example Street, Calgary, AB",0
46,Patron46,Surname46,patron46@example.com,587-555-2046,"46 Example Street, Calgary, AB",0
47,Patron47,Surname47,patron47@example.com,587-555-2047,"47 Example Street, Calgary, AB",0
48,Patron48,Surname48,patron48@example.com,587-555-2048,"48 Example Street, Calgary, AB",1
49,Patron49,Surname49,patron49@example.com,587-555-2049,"49 Example Street, Calgary, AB",0
50,Patron50,Surname50,patron50@example.com,587-555-2050,"50 Example Street, Calgary, AB",0
